"","Original","New"
"59","fBodyAccJerk-meanFreq()-X","freqBodyAccelerationJerk-meanFreq()-X"
"60","fBodyAccJerk-meanFreq()-Y","freqBodyAccelerationJerk-meanFreq()-Y"
"61","fBodyAccJerk-meanFreq()-Z","freqBodyAccelerationJerk-meanFreq()-Z"
"62","fBodyGyro-mean()-X","freqBodyGyro-mean()-X"
"63","fBodyGyro-mean()-Y","freqBodyGyro-mean()-Y"
"64","fBodyGyro-mean()-Z","freqBodyGyro-mean()-Z"
"65","fBodyGyro-std()-X","freqBodyGyro-std()-X"
"66","fBodyGyro-std()-Y","freqBodyGyro-std()-Y"
"67","fBodyGyro-std()-Z","freqBodyGyro-std()-Z"
"68","fBodyGyro-meanFreq()-X","freqBodyGyro-meanFreq()-X"
"69","fBodyGyro-meanFreq()-Y","freqBodyGyro-meanFreq()-Y"
"70","fBodyGyro-meanFreq()-Z","freqBodyGyro-meanFreq()-Z"
"71","fBodyAccMag-mean()","freqBodyAccelerationMagnitude-mean()"
"72","fBodyAccMag-std()","freqBodyAccelerationMagnitude-std()"
"73","fBodyAccMag-meanFreq()","freqBodyAccelerationMagnitude-meanFreq()"
"74","fBodyBodyAccJerkMag-mean()","freqBodyBodyAccelerationJerkMagnitude-mean()"
"75","fBodyBodyAccJerkMag-std()","freqBodyBodyAccelerationJerkMagnitude-std()"
"76","fBodyBodyAccJerkMag-meanFreq()","freqBodyBodyAccelerationJerkMagnitude-meanFreq()"
"77","fBodyBodyGyroMag-mean()","freqBodyBodyGyroMagnitude-mean()"
"78","fBodyBodyGyroMag-std()","freqBodyBodyGyroMagnitude-std()"
"79","fBodyBodyGyroMag-meanFreq()","freqBodyBodyGyroMagnitude-meanFreq()"
"80","fBodyBodyGyroJerkMag-mean()","freqBodyBodyGyroJerkMagnitude-mean()"
"81","fBodyBodyGyroJerkMag-std()","freqBodyBodyGyroJerkMagnitude-std()"
"82","fBodyBodyGyroJerkMag-meanFreq()","freqBodyBodyGyroJerkMagnitude-meanFreq()"
